overall_sentiment,readability_text
0.12037115494001574,71.85
0.1914901896455102,69.01
0.13368468844698114,71.75
0.1269787661054923,71.34
0.1409102093080468,70.53
0.21287140008392083,79.19
0.13344880788777222,80.11
0.16704323761034293,71.14
0.1673537848677397,84.37
0.1051953740001797,83.66
0.16920538081155623,81.33
0.16327893592537887,70.02
0.12996942781256443,72.56
0.12963594061129236,70.02
0.17266336620916423,82.44
0.10380385373004418,74.19
0.12923961181675442,82.95
0.15044772997316158,80.62
0.13968689110638247,68.7
0.12309048131834872,85.69
0.16230800595660183,84.07
0.13261458443282734,72.56
0.13486346514251038,75.0
0.19958893818628104,72.16
0.11285587201108487,79.5
0.12221963634522273,72.46
0.12391679063647987,72.97
0.16264036475847052,67.28
0.14613797117010943,71.44
0.171709503938778,79.3
0.13547571268252026,72.56
0.0596193025627383,75.71
0.1504306444663588,81.43
0.1285102358128674,65.86
0.1579361539927573,65.56
0.14082500470458806,93.85
0.15515736481897166,69.01
0.12915815086126098,72.26
0.13958949820021227,73.27
0.14815088613895078,72.26
0.16942904670116182,69.72
0.13846154065618008,71.85
0.13410025642855267,80.82
0.17619063834739845,81.73
0.10009066136477854,73.68
0.12573891420120673,69.11
0.16399040420746058,69.21
0.12442083595872847,73.47
0.16342964007388272,70.23
0.13751885215294132,79.3
0.1337090257614306,71.04
0.1380595977455098,80.11
0.14279969026352393,72.56
0.11836387211172403,75.2
0.13582261486255737,71.65
0.1253421474575317,74.39
0.16216421951285323,62.38
0.15710060554954072,82.24
0.1399513521792197,72.36
0.11857742150482489,70.84
0.1251509417828488,71.14
0.10947400980003244,81.33
0.06965328131846382,90.6
0.12182716706509042,74.39
0.10034165763961032,82.75
0.13430176322802076,79.7
0.09263147313812305,80.41
0.167610732001953,72.05
0.13285869012692367,73.27
0.182550127427633,67.89
0.1281449740121723,73.17
0.1588955322079043,80.11
0.12431512539725338,71.44
0.13997765096856024,71.85
0.15196862644340714,71.34
0.1547173726669873,70.53
0.11772195033414318,70.43
0.15542164326207647,71.75
0.10529073758441965,46.48
0.2140269096201649,69.92
0.09801244246670641,84.68
0.120148606088172,82.24
0.129695072659695,72.56
0.1551982216546515,80.72
0.18270123333205351,83.66
0.09372501933056056,79.7
0.1945654016381033,67.38
0.1310086431980393,82.24
0.12597148618906692,69.41
0.16730857741600813,69.72
0.1435949474338152,68.3
0.18815834034043014,82.65
0.12457669070214743,71.95
0.14093295904616637,71.85
0.18304212418552268,83.25
0.13094599415298613,73.27
0.14390840996610182,68.5
